iter	Passed	Remaining
0	119	119244
1	120	60255
2	122	40581
3	123	30711
4	124	24792
5	125	20845
6	127	18067
7	128	15948
8	129	14298
9	131	12988
10	132	11916
11	134	11037
12	135	10271
13	136	9609
14	137	9035
15	138	8530
16	139	8082
17	140	7686
18	142	7335
19	143	7021
20	144	6734
21	145	6468
22	146	6229
23	147	6005
24	148	5807
25	150	5621
26	151	5449
27	152	5288
28	153	5133
29	154	4989
30	155	4856
31	156	4730
32	157	4610
33	158	4497
34	159	4390
35	160	4291
36	161	4204
37	162	4113
38	163	4024
39	164	3940
40	164	3858
41	165	3781
42	166	3710
43	167	3643
44	168	3577
45	169	3511
46	170	3448
47	170	3385
48	171	3324
49	171	3264
50	172	3205
51	172	3150
52	173	3096
53	173	3044
54	174	2994
55	174	2947
56	175	2901
57	176	2863
58	176	2822
59	177	2780
60	177	2739
61	178	2700
62	178	2662
63	179	2624
64	179	2588
65	180	2554
66	180	2519
67	181	2486
68	181	2454
69	182	2422
70	182	2392
71	183	2363
72	183	2334
73	184	2306
74	184	2279
75	185	2253
76	185	2227
77	186	2201
78	186	2177
79	187	2153
80	187	2127
81	187	2104
82	188	2082
83	188	2060
84	189	2039
85	189	2018
86	190	1998
87	191	1982
88	192	1967
89	192	1949
90	193	1933
91	194	1915
92	194	1897
93	195	1879
94	195	1862
95	195	1845
96	196	1828
97	196	1812
98	197	1796
99	197	1780
100	198	1765
101	198	1750
102	199	1735
103	199	1720
104	200	1706
105	200	1692
106	201	1679
107	201	1665
108	202	1652
109	202	1639
110	202	1624
111	203	1612
112	203	1600
113	204	1588
114	204	1576
115	205	1564
116	205	1553
117	206	1545
118	207	1536
119	208	1526
120	208	1515
121	209	1505
122	209	1494
123	210	1484
124	210	1474
125	211	1463
126	211	1453
127	211	1444
128	212	1434
129	212	1425
130	213	1415
131	213	1406
132	214	1397
133	214	1388
134	215	1379
135	215	1371
136	216	1362
137	216	1354
138	217	1346
139	217	1338
140	218	1328
141	218	1321
142	219	1313
143	219	1304
144	219	1297
145	220	1289
146	221	1282
147	222	1279
148	222	1273
149	223	1267
150	224	1260
151	224	1253
152	225	1246
153	225	1239
154	226	1232
155	226	1225
156	227	1219
157	227	1212
158	228	1206
159	228	1199
160	229	1193
161	229	1187
162	229	1180
163	230	1174
164	230	1168
165	231	1162
166	231	1156
167	232	1150
168	232	1144
169	233	1138
170	233	1133
171	234	1127
172	234	1121
173	235	1117
174	235	1112
175	236	1109
176	237	1105
177	238	1101
178	239	1096
179	239	1091
180	240	1086
181	240	1082
182	241	1077
183	242	1073
184	242	1069
185	243	1064
186	243	1059
187	244	1054
188	244	1049
189	245	1044
190	245	1039
191	245	1035
192	246	1030
193	246	1025
194	247	1021
195	247	1016
196	248	1012
197	248	1008
198	249	1004
199	249	999
200	250	995
201	251	991
202	251	988
203	252	986
204	253	983
205	254	979
206	254	975
207	254	970
208	255	966
209	255	962
210	256	958
211	256	954
212	257	951
213	257	947
214	258	943
215	258	939
216	259	935
217	259	931
218	260	928
219	260	924
220	261	920
221	261	917
222	262	913
223	262	909
224	263	906
225	263	902
226	264	899
227	264	896
228	265	892
229	265	889
230	266	885
231	266	882
232	267	880
233	268	879
234	269	876
235	269	873
236	270	869
237	270	866
238	271	863
239	271	860
240	272	857
241	272	854
242	273	850
243	273	847
244	274	844
245	274	841
246	275	838
247	275	835
248	276	832
249	276	829
250	276	826
251	277	823
252	277	820
253	278	817
254	278	814
255	279	811
256	279	809
257	280	806
258	280	803
259	281	800
260	281	797
261	282	795
262	283	794
263	284	791
264	284	789
265	285	786
266	285	783
267	285	781
268	286	778
269	286	775
270	287	773
271	287	770
272	288	767
273	288	765
274	289	762
275	289	760
276	290	757
277	290	755
278	291	752
279	291	750
280	292	747
281	292	745
282	293	743
283	293	740
284	294	738
285	294	735
286	295	733
287	295	731
288	296	728
289	296	726
290	297	724
291	298	723
292	299	721
293	299	719
294	300	717
295	300	714
296	300	712
297	301	710
298	301	707
299	302	705
300	302	703
301	303	701
302	303	698
303	304	696
304	304	694
305	305	692
306	305	690
307	306	688
308	306	686
309	307	684
310	307	681
311	308	679
312	308	677
313	309	675
314	309	673
315	310	671
316	310	669
317	311	667
318	311	665
319	312	663
320	313	662
321	313	660
322	314	659
323	315	657
324	315	655
325	316	654
326	316	652
327	317	650
328	318	648
329	318	646
330	319	644
331	319	642
332	320	641
333	320	639
334	321	637
335	321	635
336	322	634
337	323	633
338	323	631
339	324	629
340	324	627
341	325	626
342	325	624
343	326	622
344	326	620
345	327	618
346	328	617
347	328	616
348	329	614
349	330	613
350	330	611
351	331	609
352	331	607
353	332	606
354	332	604
355	333	602
356	333	601
357	334	599
358	334	597
359	335	596
360	335	594
361	336	592
362	336	591
363	337	589
364	337	587
365	338	585
366	338	584
367	339	582
368	339	580
369	340	579
370	340	577
371	341	575
372	341	574
373	342	572
374	342	570
375	343	569
376	344	569
377	345	567
378	345	566
379	346	564
380	346	563
381	347	561
382	347	560
383	348	558
384	348	557
385	349	555
386	349	553
387	350	552
388	350	551
389	351	549
390	352	548
391	352	546
392	353	545
393	353	543
394	354	542
395	354	540
396	355	539
397	355	537
398	356	536
399	356	534
400	356	533
401	357	531
402	358	530
403	358	529
404	359	528
405	360	527
406	361	526
407	361	524
408	361	523
409	362	521
410	362	520
411	363	518
412	363	517
413	364	515
414	364	514
415	365	512
416	365	511
417	366	510
418	366	508
419	367	507
420	367	505
421	368	504
422	368	503
423	369	501
424	369	500
425	370	499
426	370	497
427	371	496
428	371	495
429	372	493
430	373	492
431	373	491
432	375	491
433	375	489
434	376	488
435	376	487
436	377	486
437	378	485
438	378	483
439	379	482
440	379	481
441	380	480
442	381	479
443	381	477
444	382	476
445	382	475
446	383	473
447	383	472
448	384	471
449	384	470
450	385	468
451	385	467
452	386	466
453	386	464
454	387	463
455	387	462
456	388	461
457	388	460
458	389	459
459	390	458
460	391	457
461	391	456
462	392	454
463	392	453
464	393	452
465	393	451
466	394	449
467	394	448
468	395	447
469	395	446
470	396	444
471	396	443
472	397	442
473	397	441
474	398	440
475	398	438
476	399	437
477	399	436
478	400	435
479	400	433
480	401	432
481	401	431
482	402	430
483	402	429
484	403	428
485	403	426
486	404	426
487	405	425
488	406	424
489	406	423
490	407	422
491	407	420
492	408	419
493	408	418
494	409	417
495	409	416
496	410	415
497	410	413
498	411	412
499	411	411
500	412	410
501	412	409
502	413	408
503	413	406
504	414	405
505	414	404
506	415	403
507	415	402
508	416	401
509	416	400
510	417	399
511	417	398
512	418	396
513	418	395
514	419	394
515	420	393
516	420	393
517	421	392
518	421	391
519	422	390
520	422	388
521	423	387
522	423	386
523	424	385
524	424	384
525	425	383
526	425	382
527	426	381
528	426	380
529	427	378
530	427	377
531	428	376
532	428	375
533	429	374
534	429	373
535	430	372
536	430	371
537	431	370
538	431	369
539	432	368
540	432	367
541	433	366
542	433	364
543	434	363
544	434	362
545	435	362
546	436	361
547	437	360
548	437	359
549	438	358
550	438	357
551	439	356
552	439	355
553	440	354
554	440	353
555	441	352
556	441	351
557	442	350
558	442	349
559	443	348
560	443	347
561	444	346
562	444	345
563	445	344
564	445	343
565	446	342
566	446	341
567	447	339
568	447	338
569	447	337
570	448	336
571	448	335
572	449	334
573	450	334
574	451	333
575	452	332
576	452	331
577	453	330
578	453	329
579	453	328
580	454	327
581	454	326
582	455	325
583	455	324
584	456	323
585	456	322
586	457	321
587	457	320
588	458	319
589	459	318
590	459	318
591	460	317
592	460	316
593	461	315
594	461	314
595	462	313
596	462	312
597	463	311
598	463	310
599	464	309
600	464	308
601	464	307
602	465	306
603	466	305
604	467	304
605	467	303
606	468	303
607	468	302
608	469	301
609	469	300
610	470	299
611	470	298
612	471	297
613	471	296
614	472	295
615	472	294
616	472	293
617	473	292
618	473	291
619	474	290
620	474	289
621	475	288
622	475	287
623	476	287
624	476	286
625	477	285
626	477	284
627	478	283
628	478	282
629	479	281
630	479	280
631	480	279
632	480	278
633	481	278
634	482	277
635	482	276
636	483	275
637	483	274
638	484	273
639	484	272
640	485	271
641	485	270
642	486	269
643	486	268
644	486	268
645	487	267
646	487	266
647	488	265
648	488	264
649	489	263
650	489	262
651	490	261
652	490	260
653	491	260
654	491	259
655	492	258
656	492	257
657	493	256
658	493	255
659	494	254
660	494	253
661	495	252
662	496	252
663	496	251
664	497	250
665	497	249
666	498	248
667	498	247
668	499	246
669	499	246
670	500	245
671	500	244
672	500	243
673	501	242
674	501	241
675	502	240
676	502	239
677	503	239
678	503	238
679	504	237
680	504	236
681	505	235
682	505	234
683	506	233
684	506	233
685	507	232
686	507	231
687	508	230
688	508	229
689	509	228
690	510	228
691	510	227
692	511	226
693	511	225
694	512	224
695	512	223
696	512	223
697	513	222
698	514	221
699	514	220
700	514	219
701	515	218
702	515	217
703	516	217
704	517	216
705	517	215
706	518	214
707	518	213
708	519	213
709	519	212
710	520	211
711	520	210
712	521	209
713	521	208
714	522	208
715	522	207
716	523	206
717	523	205
718	524	204
719	524	204
720	525	203
721	525	202
722	526	201
723	526	200
724	527	200
725	527	199
726	528	198
727	528	197
728	529	196
729	529	195
730	530	195
731	530	194
732	531	193
733	532	192
734	532	191
735	532	191
736	533	190
737	533	189
738	534	188
739	534	187
740	535	187
741	535	186
742	536	185
743	536	184
744	537	183
745	537	183
746	538	182
747	538	181
748	539	180
749	539	179
750	540	179
751	540	178
752	541	177
753	541	176
754	542	176
755	542	175
756	543	174
757	543	173
758	544	172
759	544	172
760	545	171
761	545	170
762	546	169
763	547	168
764	547	168
765	548	167
766	548	166
767	549	165
768	549	165
769	550	164
770	550	163
771	551	162
772	551	161
773	552	161
774	552	160
775	553	159
776	553	158
777	554	158
778	554	157
779	555	156
780	555	155
781	556	155
782	556	154
783	557	153
784	557	152
785	558	151
786	558	151
787	559	150
788	559	149
789	560	148
790	560	148
791	561	147
792	561	146
793	562	145
794	562	145
795	563	144
796	563	143
797	564	142
798	564	142
799	565	141
800	565	140
801	566	139
802	566	138
803	566	138
804	567	137
805	568	136
806	568	135
807	568	135
808	569	134
809	569	133
810	570	132
811	570	132
812	571	131
813	572	130
814	572	129
815	573	129
816	573	128
817	574	127
818	574	127
819	575	126
820	576	125
821	576	124
822	577	124
823	577	123
824	578	122
825	578	121
826	579	121
827	579	120
828	580	119
829	580	118
830	581	118
831	581	117
832	582	116
833	582	115
834	583	115
835	583	114
836	584	113
837	584	113
838	585	112
839	585	111
840	586	110
841	586	110
842	587	109
843	587	108
844	588	107
845	589	107
846	589	106
847	590	105
848	590	105
849	591	104
850	591	103
851	592	102
852	592	102
853	593	101
854	593	100
855	594	99
856	594	99
857	595	98
858	595	97
859	595	97
860	596	96
861	597	95
862	597	94
863	598	94
864	598	93
865	598	92
866	599	91
867	599	91
868	600	90
869	600	89
870	601	89
871	601	88
872	602	87
873	603	86
874	604	86
875	604	85
876	605	84
877	605	84
878	606	83
879	606	82
880	607	82
881	608	81
882	608	80
883	609	79
884	609	79
885	610	78
886	610	77
887	611	77
888	611	76
889	612	75
890	613	75
891	613	74
892	614	73
893	615	72
894	615	72
895	616	71
896	616	70
897	617	70
898	617	69
899	618	68
900	619	68
901	619	67
902	620	66
903	620	65
904	621	65
905	621	64
906	622	63
907	622	63
908	623	62
909	624	61
910	624	61
911	625	60
912	625	59
913	626	58
914	626	58
915	627	57
916	628	56
917	629	56
918	629	55
919	630	54
920	630	54
921	631	53
922	631	52
923	632	51
924	632	51
925	633	50
926	633	49
927	634	49
928	635	48
929	635	47
930	636	47
931	636	46
932	637	45
933	637	45
934	638	44
935	638	43
936	639	42
937	639	42
938	640	41
939	640	40
940	641	40
941	641	39
942	642	38
943	642	38
944	643	37
945	644	36
946	644	36
947	644	35
948	645	34
949	646	34
950	646	33
951	646	32
952	647	31
953	648	31
954	648	30
955	649	29
956	650	29
957	650	28
958	651	27
959	651	27
960	652	26
961	652	25
962	653	25
963	653	24
964	654	23
965	654	23
966	655	22
967	655	21
968	656	20
969	656	20
970	657	19
971	657	18
972	658	18
973	658	17
974	659	16
975	659	16
976	660	15
977	660	14
978	661	14
979	661	13
980	662	12
981	663	12
982	663	11
983	664	10
984	665	10
985	665	9
986	666	8
987	666	8
988	667	7
989	667	6
990	668	6
991	668	5
