iter	Passed	Remaining
0	170	169957
1	172	86071
2	175	58351
3	177	44140
4	178	35505
5	179	29779
6	180	25672
7	182	22593
8	183	20200
9	184	18253
10	185	16684
11	186	15360
12	188	14278
13	189	13313
14	189	12465
15	190	11723
16	191	11073
17	192	10490
18	192	9963
19	193	9484
20	194	9053
21	194	8664
22	195	8324
23	196	8001
24	197	7701
25	198	7421
26	198	7161
27	199	6928
28	200	6708
29	201	6499
30	202	6329
31	203	6154
32	204	5987
33	205	5828
34	205	5674
35	206	5532
36	207	5393
37	208	5266
38	208	5140
39	209	5024
40	209	4909
41	210	4805
42	211	4702
43	211	4604
44	212	4514
45	213	4427
46	214	4340
47	214	4257
48	215	4178
49	216	4114
50	217	4048
51	218	3979
52	219	3913
53	219	3848
54	220	3788
55	221	3727
56	221	3670
57	222	3615
58	223	3560
59	223	3508
60	224	3458
61	225	3408
62	225	3359
63	226	3313
64	227	3267
65	227	3222
66	228	3180
67	229	3142
68	229	3102
69	231	3071
70	232	3037
71	232	3000
72	233	2965
73	234	2930
74	234	2897
75	235	2864
76	236	2831
77	236	2799
78	237	2770
79	238	2742
80	239	2714
81	239	2686
82	240	2656
83	241	2628
84	241	2601
85	242	2575
86	242	2549
87	243	2525
88	244	2501
89	245	2482
90	246	2462
91	247	2441
92	247	2418
93	248	2397
94	249	2374
95	249	2353
96	250	2332
97	251	2311
98	251	2291
99	252	2271
100	252	2251
101	253	2230
102	254	2212
103	254	2193
104	255	2174
105	255	2156
106	256	2137
107	256	2120
108	257	2104
109	258	2088
110	258	2072
111	259	2056
112	260	2044
113	261	2032
114	262	2017
115	262	2002
116	263	1987
117	263	1972
118	264	1957
119	264	1943
120	265	1929
121	266	1914
122	266	1901
123	267	1887
124	267	1874
125	268	1862
126	269	1849
127	269	1836
128	270	1823
129	270	1810
130	271	1798
131	271	1786
132	272	1774
133	272	1762
134	273	1750
135	273	1739
136	274	1727
137	275	1719
138	276	1711
139	276	1701
140	277	1690
141	277	1679
142	278	1669
143	279	1659
144	279	1649
145	280	1639
146	280	1629
147	281	1619
148	281	1610
149	282	1600
150	283	1591
151	283	1582
152	284	1572
153	284	1563
154	285	1554
155	285	1545
156	286	1537
157	286	1529
158	287	1520
159	287	1511
160	288	1502
161	288	1494
162	289	1486
163	290	1481
164	291	1475
165	292	1468
166	292	1460
167	293	1453
168	294	1445
169	294	1438
170	295	1430
171	295	1424
172	296	1416
173	297	1410
174	297	1403
175	298	1396
176	298	1390
177	299	1383
178	300	1377
179	300	1370
180	301	1364
181	302	1358
182	302	1352
183	303	1346
184	304	1339
